
Current Date --> 2024-08-12 00:00:00
Machine ID --> M003
2024-08-12 12:56:35 1 953 1723447595
2024-08-12 12:56:45 1 953 1723447605
2024-08-12 12:56:55 1 953 1723447615
2024-08-12 12:57:05 1 953 1723447625
2024-08-12 12:57:15 1 953 1723447635
2024-08-12 12:57:25 1 953 1723447645
2024-08-12 12:57:35 1 953 1723447655
2024-08-12 12:57:45 1 953 1723447665
2024-08-12 12:57:55 1 953 1723447675
2024-08-12 12:58:05 1 953 1723447685
2024-08-12 12:58:15 1 953 1723447695
2024-08-12 12:58:25 1 953 1723447705
2024-08-12 12:58:35 1 953 1723447715
2024-08-12 12:58:45 1 953 1723447725
2024-08-12 12:58:55 1 953 1723447735
2024-08-12 12:59:05 1 953 1723447745
2024-08-12 12:59:15 1 953 1723447755
2024-08-12 12:59:25 1 953 1723447765
2024-08-12 12:59:35 1 953 1723447775
2024-08-12 12:59:45 1 953 1723447785
2024-08-12 12:59:55 1 953 1723447795
2024-08-12 13:00:05 1 953 1723447805
2024-08-12 13:00:15 1 953 1723447815
2024-08-12 13:00:25 1 953 1723447825
2024-08-12 13:00:35 1 953 1723447835
2024-08-12 13:00:45 1 953 1723447845
2024-08-12 13:00:55 1 953 1723447855
2024-08-12 13:01:05 1 953 1723447865
2024-08-12 13:01:15 1 953 1723447875
2024-08-12 13:01:25 1 953 1723447885
2024-08-12 13:01:35 1 953 1723447895
2024-08-12 13:01:45 1 953 1723447905
2024-08-12 13:01:55 1 953 1723447915
2024-08-12 13:02:05 1 953 1723447925
2024-08-12 13:02:15 1 953 1723447935
2024-08-12 13:02:25 1 953 1723447945
2024-08-12 13:02:35 1 953 1723447955
2024-08-12 13:02:45 1 953 1723447965
2024-08-12 13:02:55 1 953 1723447975
2024-08-12 13:03:05 1 953 1723447985
2024-08-12 13:03:15 1 953 1723447995
2024-08-12 13:03:25 1 953 1723448005
2024-08-12 13:03:35 1 953 1723448015
2024-08-12 13:03:45 1 953 1723448025
2024-08-12 13:03:55 1 953 1723448035
2024-08-12 13:04:05 1 953 1723448045
2024-08-12 13:04:15 1 953 1723448055
2024-08-12 13:04:25 1 953 1723448065
2024-08-12 13:04:35 1 953 1723448075
2024-08-12 13:04:45 1 953 1723448085
2024-08-12 13:04:55 1 953 1723448095
2024-08-12 13:05:05 1 953 1723448105
2024-08-12 13:05:15 1 953 1723448115
2024-08-12 13:05:25 1 953 1723448125
2024-08-12 13:05:35 1 953 1723448135
2024-08-12 13:05:45 1 953 1723448145
2024-08-12 13:05:55 1 953 1723448155
2024-08-12 13:06:05 1 953 1723448165
2024-08-12 13:06:15 1 953 1723448175
2024-08-12 13:06:25 1 953 1723448185
2024-08-12 13:06:35 1 953 1723448195
